Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
en,pt,61.61,-1.017235098,0.914000457,0.232507172,0.525078257,0.54526688,-0.021272129,-1.07504565,-0.94898463,0.53362067,0.387188656,-0.174056734,0.484,0.5687,0.4235,0.0621
en,la,39.39,0.914379004,-1.017857028,0.056383487,0.338757432,0.54526688,-0.149905342,0.049408809,-0.94898463,-0.269813628,0.053878439,0.374553187,0.8146,0.5687,0.5983,0.0794
en,fr,64.5,-2.116948288,1.05003234,0.261316544,0.251315147,0.54526688,-0.210274236,-0.597421851,-0.94898463,0.299782521,0.400393857,-0.226177628,0.4635,0.427,0.4753,0.0297
en,de,61.91,-1.285047375,0.961078277,0.223103283,0.130052999,0.54526688,-0.293991875,0.416645311,-0.94898463,-0.956024369,-1.901491133,-0.348498591,0.4197,0.3277,0.4364,0.053
en,hi,37.35,0.961450893,-1.285703049,0.09722665,0.161022962,0.54526688,-0.272610659,-2.08567128,-0.94898463,0.819078959,0.19748707,0.139435835,0.503,0.3433,0.4684,0.3511
en,ca,55.12,0.301296653,0.300840858,0.213021996,0.149517012,0.54526688,-0.280554201,-1.636763242,-0.94898463,0.716206592,0.309924375,-0.007024424,0.4693,0.2804,0.4581,0.0638
en,it,61.2,-0.798416536,0.865000571,0.221549251,0.044203098,0.54526688,-0.353261409,-0.916818639,-0.94898463,0.466467624,0.28033711,-0.06695317,0.541,0.5687,0.5064,0.0748
en,fi,46.4,0.760956035,-0.453697316,0.167397195,0.034221368,0.54526688,-0.360152652,1.471043869,-0.94898463,-0.059247936,0.590200479,-0.013687389,0.4766,0.2736,0.4694,0.0991
en,bg,57.37,-0.185334185,0.646154437,0.127271278,-0.363406583,0.54526688,-0.63466926,0.573460789,-0.94898463,-1.516054379,0.136699067,-0.141826457,0.4865,0.2804,0.521,0.1095
en,sl,55.4,0.218492836,0.378308417,0.198876315,-0.462645896,0.54526688,-0.703182652,0.939384218,-0.94898463,-2.148736614,0.053878439,0.076951648,0.5346,0.5687,0.4546,0.0678
en,sk,52.41,0.585005577,-0.071447576,0.176801084,-0.427488318,0.54526688,-0.678910366,1.152921784,-0.94898463,-0.928173094,0.053878439,0.086859208,0.5839,0.5687,0.5983,0.0735
