Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
am,be,8.57,0.766672628,-0.407179028,0.000401768,-1.880461018,0.760533578,-1.975374968,0.543622809,0.008683549,-0.824567653,0.422132886,0.249790808,0.8425,0.5687,0.6597,0.2389
am,mr,19.69,-1.154109298,0.940066895,0.000803536,-1.757804127,0.760533578,-1.875038841,0.518209078,0.008683549,-1.175707133,0.422132886,0.031791321,0.5632,0.5687,0.466,0.202
am,cop,21.34,-2.24485516,1.04147407,0.000401768,-1.687224999,0.760533578,-1.817303508,0.478168551,0.008683549,-2.180814701,-1.86862859,0.225289176,0.8301,0.5687,0.6597,0.1077
am,ta,27.37,-3.46658341,1.079608499,0.000401768,-1.575848971,0.760533578,-1.726195383,0.552921618,0.008683549,-0.719177601,0.422132886,-0.064136659,0.5471,0.5687,0.4801,0.2141
am,ga,16.49,-0.455055623,0.780730189,0.001205303,-1.19383975,0.760533578,-1.41370315,0.276368681,0.008683549,-0.366715431,0.422132886,0.211401017,0.6315,0.5687,0.4993,0.3103
am,hu,11.18,0.421760194,0.222309224,0.000401768,-0.7849374,0.760533578,-1.079211725,0.429483918,0.008683549,-2.16977625,0.422132886,-0.005665023,0.4875,0.4477,0.4091,0.2166
am,te,16.58,-0.614193059,0.828603708,0.001607071,-1.003873768,0.760533578,-1.258306655,0.267422647,0.008683549,-0.325725957,0.422132886,0.006097736,0.5416,0.3498,0.5211,0.2123
am,af,9.63,0.635690239,-0.101292234,0.000803536,-0.733244548,0.760533578,-1.036925796,-0.040792995,0.008683549,0.396425172,0.422132886,0.07599704,0.6265,0.5687,0.57,0.1944
am,vi,18.57,-0.905959169,0.896797794,0.001205303,-0.417184462,0.760533578,-0.778381455,-0.193243969,0.008683549,0.552433308,0.422132886,0.271882882,0.648,0.5829,0.5627,0.3607
am,ug,19.39,-1.023126909,0.918640382,0.000401768,-0.315316276,0.760533578,-0.695050961,0.406976088,0.008683549,-1.558025814,0.422132886,0.024700786,0.7319,0.7736,0.6597,0.2615
am,el,9.43,0.663150029,-0.156174237,0.000803536,-0.542419107,0.760533578,-0.880826244,0.153675171,0.008683549,0.051759413,0.422132886,0.091371594,0.573,0.4477,0.5329,0.1843
am,sme,17.91,-0.799968056,0.874522652,0.000803536,-0.388487397,0.760533578,-0.754906603,0.42522521,0.008683549,-2.018840509,0.422132886,0.150939246,0.7952,0.5687,0.6597,0.3229
am,gl,11.27,0.387540111,0.261781973,0.000803536,-0.211337709,0.760533578,-0.609994128,0.031556193,0.008683549,0.294256221,0.422132886,0.245307389,0.6127,0.5687,0.4394,0.283
am,sr,22.47,-2.695758706,1.060702879,0.000401768,-0.229966783,0.760533578,-0.625233134,0.207702732,0.008683549,-0.100767146,0.422132886,0.105641903,0.7562,0.7196,0.6597,0.1998
am,got,11.95,0.278068353,0.372513069,0.000401768,0.006107477,0.760533578,-0.432119019,-0.108965856,0.008683549,0.474327623,0.422132886,0.199344311,0.8174,0.5687,0.6597,0.2008
am,tr,20.9,-1.676783874,1.002001321,0.000401768,0.036641409,0.760533578,-0.407141568,0.492302833,0.008683549,-1.70973699,0.422132886,-0.050590764,0.5039,0.4477,0.4801,0.1598
am,zh,10.96,0.454958629,0.181400792,0.000401768,-0.049863605,0.760533578,-0.477904637,0.882936738,0.008683549,1.021844592,0.422132886,-0.001674112,0.6193,0.5687,0.6597,1
am,ur,10.49,0.548991939,0.048911611,0.000803536,-0.030952832,0.760533578,-0.462435195,-0.424299632,0.008683549,0.69901667,0.422132886,0.14213974,0.6402,0.5687,0.5599,0.162
