Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
jv,ug,66,0.235165586,0.372515896,0.00151466,-1.04197607,0.681733261,-1.165919972,0.276828836,1.240408834,2.188906832,0.749082798,0.611,0.126397345
jv,uz,67,-0.790310758,0.816413116,0.012874608,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,vi,66,0.235165586,0.372515896,0.021637996,0.632419405,0.681733261,-0.144471802,0.276828836,0.084188309,-0.567658187,0.583891908,0.5072,-1.047733279
jv,xh,63,1.105511376,-2.409172274,0.003678459,-2.349673015,0.681733261,-1.963667381,0.276828836,0.237287035,-0.813956335,0.658285164,0.4456,0.681968107
jv,yo,66,0.235165586,0.372515896,0.079519636,0.379281215,0.681733261,-0.298896217,0.276828836,0.507491765,-0.672891338,0.555620525,0.4477,0.976772639
jv,zu,65,0.783924055,-0.41528238,0.008979768,-1.764244316,0.681733261,-1.606532474,0.276828836,0.792193086,-0.101029361,0.594191865,0.5049,0.635128052
lo,am,5,-0.47589031,0.734235025,0,-0.611235909,-1.076338242,0.46433037,0.276828836,0.435825095,-0.139163616,0.591554152,0.445,0.348525567
lo,ar,5,-0.47589031,0.734235025,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
lo,az,4,0.596101316,-0.03596899,0.005758157,0.632419405,-1.076338242,1.223009824,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
lo,bn,7,-2.4341834,0.988625249,0,0.632419405,-1.076338242,1.223009824,0.276828836,0.155074455,-0.180144813,0.61394371,0.522,-1.289634542
lo,ca,4,0.596101316,-0.03596899,0.001919386,0.632419405,-1.076338242,1.223009824,0.276828836,-1.149786342,-1.101750764,0.61394371,0.4237,0.734859369
lo,ceb,6,-1.432728774,0.917845425,0.005758157,0.632419405,-1.076338242,1.223009824,0.276828836,0.643865893,-0.867350876,-1.628125965,0.4008,-0.963913839
lo,ckb,5,-0.47589031,0.734235025,0,0.269678823,-1.076338242,1.001723569,0.276828836,0.591863477,1.616966846,-1.628125965,0.6643,0.198016102
lo,de,5,-0.47589031,0.734235025,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.362871211,-0.371249804,0.579980434,0.4988,0.621244206
lo,fa,4,0.596101316,-0.03596899,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
lo,fr,3,1.016241847,-1.399947409,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.116138583,-0.291877899,0.579980434,0.4973,0.719386899
lo,ha,5,-0.47589031,0.734235025,0.009596929,-1.108887671,-1.076338242,0.160742902,0.276828836,-1.221656975,-0.505324383,0.579980434,0.5336,0.801049661
lo,hi,7,-2.4341834,0.988625249,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.153645514,-0.224901572,0.602855577,0.5399,-0.644451285
lo,hu,5,-0.47589031,0.734235025,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.367119885,-0.366808937,0.602855577,0.4928,0.552692664
lo,ilo,5,-0.47589031,0.734235025,0.001919386,-0.175037928,-1.076338242,0.730428574,0.276828836,0.062981555,-1.348064893,-1.628125965,0.3532,-1.290983965
lo,id,6,-1.432728774,0.917845425,0,0.632419405,-1.076338242,1.223009824,0.276828836,-2.329602686,-1.512990488,0.591554152,0.3987,-0.796994873
