Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,eus,bos,3.55,0.982377182,-1.61404793,0.405243239,0.614757706,-1.431925799,-1.494521831,0.043850329,0.828148313,0.924623261,-1.632153724,0.379893468,0.64,0.8,0.641,0.669,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,swe,9.68,-0.273567447,0.687233702,0.464070623,1.058801085,0.18873533,-1.494521831,1.179170288,-0.540048548,0.924623261,0.074556136,0.379893468,0.68,0.7,0.641,0.6212,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,pol,9.35,0.354404867,0.256637715,-0.140410886,0.857692215,0.988111889,-1.494521831,1.73915667,-0.311829582,0.924623261,0.001796753,0.379893468,0.61,0.6,0.2163,0.5494,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,fas,11.18,-3.384825197,1.064745376,-0.733654683,-0.482608084,0.878612704,-1.494521831,1.662449327,-1.419293253,0.924623261,0.233232528,0.379893468,0.53,0.6,0.641,0.669,1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,kur,3.57,0.959239269,-1.40717289,-0.991843285,-1.287636512,-1.001538166,-1.494521831,0.345349305,0.542481711,0.924623261,-0.665056104,0.379893468,0.71,0.8,0.641,0.669,0.2,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,hun,9.46,0.133666601,0.456215809,-0.342059765,0.796970754,0.860933118,-1.494521831,1.650064266,0.029422793,0.924623261,-0.156506033,0.379893468,0.55,0.5,0.2952,0.568,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,slv,4.75,0.75464731,-0.445768315,0.412139026,0.62215618,-0.549974714,-1.494521831,0.661682553,0.40851892,0.924623261,-0.473570775,0.379893468,0.61,0.6,0.641,0.5354,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,ron,9.83,-0.506569759,0.773452731,0.169372202,1.130681805,1.004538419,-1.494521831,1.75066393,-0.978356422,0.924623261,0.171163159,0.379893468,0.63,0.6,0.3217,0.5136,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,rus,10.08,-1.051381885,0.904018598,-0.923633722,-0.468077326,1.105723685,-1.494521831,1.821547133,-0.55980518,0.924623261,0.079980456,0.379893468,0.57,0.5,0.2163,0.5499,0.3,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,srp,9.06,0.468620219,0.117524378,-0.216893754,0.640926441,0.809772062,-1.494521831,1.614224468,-0.30066833,0.924623261,-0.002309922,0.379893468,0.62,0.7,0.8391,0.669,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
