Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
bul,fra,11.9,,,,,,,,,,,,,,,,0.1,0.8571,0.4788,0.5,0.3333,0.5
bul,glg,8.4,43273,0.122750397,0.004107865,0.094219758,0.004188036,91015,5507,74111,5467,17.13456428,18.17706191,741464,1340599,786576,1305385,0.1,0.8571,0.5545,0.61,0.6162,0.6
bul,heb,3.2,58167,0.110384264,0.003268673,0.130700951,0.003507388,104299,5512,108329,5434,16.24412468,14.2491619,944872,1686311,828831,1549301,0.1,1,0.6063,0.56,0.6162,0.6
bul,hrv,6.4,47877,0.124443401,0.003617656,0.151793853,0.003603398,102874,5482,116406,5463,17.26659983,16.0174823,826673,1515346,766869,1516069,0,0.4286,0.4403,0.77,0.6162,0.6
bul,hun,4.7,68595,0.107264988,0.003002828,0.157426277,0.003039003,116372,5653,151488,5572,15.81605073,14.02841315,1084902,1882559,962279,1833496,0,1,0.4681,0.51,0.2048,0.5
bul,ind,10.3,60639,0.104776838,0.002659494,0.074752409,0.003199896,122488,5600,81903,5626,19.27863256,18.06852026,1169037,2105664,1095657,1758182,0.5,1,0.4918,0.52,0.2804,0.5
bul,ita,12.2,102305,0.087615373,0.001917051,0.062830736,0.001698299,159856,6053,125548,5887,17.83412345,19.53173354,1824520,3157453,1998194,3466409,0.1,0.8571,0.5052,0.42,0.6162,0.5
bul,jpn,4,71117,0.108947762,0.003108811,0.361453171,0.002629986,111493,5585,137928,4969,14.38983647,5.365707215,1023362,1796507,381593,1889364,0.4,1,0.5282,0.75,0.4327,0.6
bul,kor,5.4,38280,0.138901237,0.005157678,0.048333102,0.002860632,82489,5389,23707,3214,15.5137931,12.81327064,593868,1044850,490492,1123528,0.4,1,0.5671,0.67,0.5,0.6
bul,mkd,16.2,86038,0.088157722,0.001844865,0.084692387,0.002010259,150749,5654,143693,5686,19.874846,19.71972849,1709992,3064723,1696646,2828491,0,0.1429,0.4367,0.49,0.6162,0.5
bul,nob,8.1,,,,,,,,,,,,,,,,0.1,1,0.5964,0.56,0.3613,0.6
bul,nld,7.7,84025,0.1000145,0.002607378,0.091457288,0.002477429,127606,5702,121879,5598,15.18446891,15.85995835,1275875,2186871,1332633,2259601,0.1,0.8571,0.5097,0.5,0.6162,0.5
bul,pol,6.3,96090,0.094143618,0.002205065,0.120250626,0.002163102,140859,5835,163689,5734,15.57096472,14.16621917,1496214,2646181,1361232,2650823,0.1,0.5714,0.5078,0.46,0,0.5
bul,por,14.7,114067,0.078842671,0.001627183,0.058325234,0.001601732,173361,6154,139048,6157,19.27658306,20.9000938,2198822,3781996,2384011,3843964,0.1,0.8571,0.4276,0.34,0.6162,0.4
bul,por,15.4,,,,,,,,,,,,,,,,0.1,0.8571,0.4276,0.34,0.6162,0.4
bul,ron,9.8,69902,0.096564486,0.002434022,0.081794688,0.002422324,126080,5701,113528,5647,18.6783783,19.85584103,1305656,2342214,1387963,2331232,0,0.8571,0.4946,0.45,0.2163,0.5
bul,rus,12.4,270073,0.056122248,0.000762031,0.076265162,0.00070791,304928,7058,375285,6940,20.1178274,18.22022935,5433282,9262096,4920792,9803509,0.2,0.5714,0.345,0.46,0,0.4
bul,slk,4,43375,0.130870766,0.004182995,0.160693428,0.00422836,93863,5365,102771,5376,16.53530836,14.74459942,717219,1282574,639547,1271415,0,0.5714,0.6416,0.61,0.6162,0.6
bul,slv,6.4,46673,0.11650332,0.004076364,0.143159368,0.003903258,91388,5504,108000,5499,16.80680479,16.16360637,784424,1350223,754404,1408823,0,0.4286,0.4225,0.45,0.6162,0.5
bul,srp,2.7,65281,0.107446048,0.00270122,0.142435174,0.002629216,126148,5752,156044,5566,17.98469693,16.78197332,1174059,2129408,1095544,2116981,0,0.4286,0.6416,0.61,0.8485,0.8
bul,swe,7.1,63135,0.10983648,0.003135994,0.118600854,0.003344906,112846,5612,111129,5504,16.27306565,14.84121327,1027400,1789544,937000,1645487,0.1,0.8571,0.5343,0.45,0.6162,0.5
bul,tur,2.4,56592,0.110556888,0.003571405,0.138481486,0.003798881,99142,5483,110651,5637,15.84589695,14.11915112,896751,1535250,799031,1483858,0,1,0.4912,0.67,0.2048,0.5
bul,ukr,10.4,126154,0.081966208,0.001496767,0.106777656,0.001454925,191132,6066,225133,6053,18.48406709,16.7131284,2331839,4052734,2108428,4160352,0,0.5714,0.4367,0.45,0.6162,0.5
bul,vie,11.7,60738,0.10116184,0.002689572,0.035111081,0.002483018,118764,5676,55291,5889,19.32892094,25.92684975,1174000,2110373,1574745,2371711,0.4,1,0.552,0.58,0.4407,0.6
bul,cmn,6.4,,,,,,,,,,,,,,,,0.4,1,0.5762,0.53,0.4054,0.5
bul,zho,4.7,,,,,,,,,,,,,,,,0.4,1,0.5762,0.53,0.4054,0.5
bos,ara,1.2,34137,0.173850736,0.005192576,0.157776886,0.005189526,93168,5305,84907,5270,15.6987433,15.76430266,535908,1021651,538146,1015507,1,1,0,0.7,0.0002,0.8
bos,bul,6.1,34760,0.176768726,0.00531925,0.140111395,0.005369684,91901,5305,78511,5349,14.95667434,16.12045455,519894,997321,560347,996148,0,0.4286,0.6416,0.51,0.6162,0.7
bos,ces,4.1,43380,0.176581936,0.004527212,0.168397329,0.004475142,107279,5340,102216,5403,14.00486399,13.99246196,607531,1179534,606993,1207336,0,0.5714,0.6784,0.46,0.0002,0.7
bos,dan,3.7,32718,0.186489922,0.005815654,0.144165805,0.006402301,87745,5308,69434,5324,14.38070787,14.72052081,470508,912709,481626,831576,0.1,0.875,0,0.45,0.0002,0.5
bos,deu,5.8,71019,0.142715398,0.002932052,0.115400652,0.003149386,141246,5478,118181,5639,13.93576367,14.4199862,989704,1868316,1024093,1790508,0,0.8571,0.6153,0.54,0.5456,0.7
bos,ell,4.5,33881,0.181289378,0.005066448,0.130099879,0.004354593,97831,5330,79991,5288,15.92751099,18.14713261,539640,1052019,614843,1214350,0,0.8333,0.6929,0.55,0.5922,0.7
bos,eng,21.7,210690,0.086789462,0.000838054,0.046545001,0.000931511,329663,6080,192664,6240,18.02848735,19.6464284,3798422,7254903,4139306,6698794,0.1,0.9,0.5983,0.61,0.5687,0.8
bos,spa,9.9,70064,0.146213953,0.002788442,0.079396975,0.002956562,151306,5509,96331,5643,14.76972482,17.3167818,1034826,1975655,1213283,1908636,0.1,0.9231,0.6832,0.62,0.5922,0.7
bos,fra,6.7,60013,0.157485022,0.003413709,0.087225415,0.003233739,130405,5386,87246,5457,13.79779381,16.66698882,828047,1577756,1000236,1687520,0.1,0.9375,0.6025,0.58,0.5456,0.8
bos,fra,4.6,,,,,,,,,,,,,,,,0.1,0.9375,0.6025,0.58,0.5456,0.8
bos,glg,5.7,32509,0.180380374,0.005394241,0.109194484,0.005392836,91069,5307,63524,5341,15.5302224,17.89507521,504872,983827,581751,990388,0.1,0.9231,0.6552,0.61,0.0002,0.8
bos,heb,1,30165,0.194823699,0.006576072,0.175135253,0.00664591,81493,5297,70700,5268,13.86676612,13.38266203,418291,805496,403688,792668,0.1,1,0.7028,0.61,0.0002,0.7
bos,hrv,30.9,164225,0.084618077,0.000959005,0.08246127,0.000942639,293758,6211,286253,6132,21.13913838,21.13784747,3471575,6476506,3471363,6505142,0,0.125,0.6832,0.7,0.0002,0.9
bos,hun,2.4,39139,0.183999916,0.004795461,0.195299917,0.005119596,104746,5310,107920,5599,14.54487851,14.11855183,569272,1107297,552586,1093641,0,1,0.6461,0.57,0.5922,0.7
bos,ind,5.3,38865,0.164179979,0.004044426,0.091753709,0.004623615,112031,5373,63432,5456,17.55736524,17.78795832,682367,1328495,691329,1180029,0.5,1,0.669,0.65,0.5687,0.8
bos,ita,6.5,52824,0.159603388,0.003541893,0.091021756,0.003403868,127872,5431,84095,5504,15.16708314,17.49015599,801186,1533361,923900,1616984,0,0.9,0.6737,0.57,0.0002,0.7
bos,jpn,1.4,36882,0.174214234,0.006341921,0.370819244,0.005153047,78514,5262,70403,4639,12.21937531,5.147714332,450675,829717,189858,900244,0.5,1,0.6597,0.73,0.6162,0.8
bos,mkd,12.9,39333,0.157712522,0.003935778,0.118200197,0.004345312,112200,5407,88053,5486,18.08712786,18.93951644,711421,1373807,744948,1262510,0,0.4286,0.6737,0.55,0.0002,0.8
